TIME,GEO,UNIT,ICHA11_HC,Value,Flag and Footnotes
2006,Belgium,Million euro,Current health care expenditure (CHE),"29,217.88",b
2006,Belgium,Million euro,Curative care and rehabilitative care,"14,095.58",b
2006,Belgium,Million euro,Curative care,"12,469.11",b
2006,Belgium,Million euro,Inpatient curative and rehabilitative care,"8,121.41",b
2006,Belgium,Million euro,Inpatient curative care,"7,452.43",b
2006,Belgium,Million euro,Day curative and rehabilitative care,415.96,b
2006,Belgium,Million euro,Day curative care,192.26,b
2006,Belgium,Million euro,Outpatient curative and rehabilitative care,"5,219.05",b
2006,Belgium,Million euro,Outpatient curative care,"4,824.42",b
2006,Belgium,Million euro,General outpatient curative care,"2,054.29",b
2006,Belgium,Million euro,Dental outpatient curative care,756.87,b
2006,Belgium,Million euro,Specialised outpatient curative care,"2,013.26",b
2006,Belgium,Million euro,All other outpatient curative care n.e.c.,:,
2006,Belgium,Million euro,Home-based curative and rehabilitative care,339.17,b
2006,Belgium,Million euro,Home-based curative care,:,
2006,Belgium,Million euro,Rehabilitative care,"1,626.48",b
2006,Belgium,Million euro,Inpatient rehabilitative care,668.98,b
2006,Belgium,Million euro,Day rehabilitative care,223.69,b
2006,Belgium,Million euro,Outpatient rehabilitative care,394.63,b
2006,Belgium,Million euro,Home-based rehabilitative care,339.17,b
2006,Belgium,Million euro,Long-term care (health),"6,797.84",b
2006,Belgium,Million euro,Inpatient long-term care (health),"4,359.59",b
2006,Belgium,Million euro,Day long-term care (health),6.28,b
2006,Belgium,Million euro,Outpatient long-term care (health),214.94,b
2006,Belgium,Million euro,Home-based long-term care (health),"2,217.03",b
2006,Belgium,Million euro,Ancillary services (non-specified by function),"1,132.59",b
2006,Belgium,Million euro,Laboratory services,725.09,b
2006,Belgium,Million euro,Imaging services,306.53,b
2006,Belgium,Million euro,Patient transportation,100.98,b
2006,Belgium,Million euro,Medical goods (non-specified by function),"5,303.97",b
2006,Belgium,Million euro,Pharmaceuticals and other medical non-durable goods,"4,830.77",b
2006,Belgium,Million euro,Prescribed medicines,"4,065.69",b
2006,Belgium,Million euro,Over-the-counter medicines,737.85,b
2006,Belgium,Million euro,Other medical non-durable goods,27.23,b
2006,Belgium,Million euro,Therapeutic appliances and other medical durable goods,473.19,b
2006,Belgium,Million euro,Preventive care,517.1,b
2006,Belgium,Million euro,"Information, education and counseling programmes",292.9,b
2006,Belgium,Million euro,Immunisation programmes,15.82,b
2006,Belgium,Million euro,Early disease detection programmes,0.93,b
2006,Belgium,Million euro,Healthy condition monitoring programmes,92.84,b
2006,Belgium,Million euro,Epidemiological surveillance and risk and disease control programmes,84.77,b
2006,Belgium,Million euro,Preparing for disaster and emergency response programmes,29.84,b
2006,Belgium,Million euro,Governance and health system and financing administration,"1,370.79",b
2006,Belgium,Million euro,Governance and health system administration,244.66,b
2006,Belgium,Million euro,Administration of health financing,"1,126.13",b
2006,Belgium,Million euro,Other health care services unknown,:,
2006,Belgium,Million euro,Long-term care (social),:,
2006,Belgium,Million euro,Long-term care (HC.3 and HCR.1),"6,797.84",
2006,Bulgaria,Million euro,Current health care expenditure (CHE),:,
2006,Bulgaria,Million euro,Curative care and rehabilitative care,:,
2006,Bulgaria,Million euro,Curative care,:,
2006,Bulgaria,Million euro,Inpatient curative and rehabilitative care,:,
2006,Bulgaria,Million euro,Inpatient curative care,:,
2006,Bulgaria,Million euro,Day curative and rehabilitative care,:,
2006,Bulgaria,Million euro,Day curative care,:,
2006,Bulgaria,Million euro,Outpatient curative and rehabilitative care,:,
2006,Bulgaria,Million euro,Outpatient curative care,:,
2006,Bulgaria,Million euro,General outpatient curative care,:,
2006,Bulgaria,Million euro,Dental outpatient curative care,:,
2006,Bulgaria,Million euro,Specialised outpatient curative care,:,
2006,Bulgaria,Million euro,All other outpatient curative care n.e.c.,:,
2006,Bulgaria,Million euro,Home-based curative and rehabilitative care,:,
2006,Bulgaria,Million euro,Home-based curative care,:,
2006,Bulgaria,Million euro,Rehabilitative care,:,
2006,Bulgaria,Million euro,Inpatient rehabilitative care,:,
2006,Bulgaria,Million euro,Day rehabilitative care,:,
2006,Bulgaria,Million euro,Outpatient rehabilitative care,:,
2006,Bulgaria,Million euro,Home-based rehabilitative care,:,
2006,Bulgaria,Million euro,Long-term care (health),:,
2006,Bulgaria,Million euro,Inpatient long-term care (health),:,
2006,Bulgaria,Million euro,Day long-term care (health),:,
2006,Bulgaria,Million euro,Outpatient long-term care (health),:,
