TIME,GEO,UNIT,ICHA11_HP,Value,Flag and Footnotes
2006,Belgium,Million euro,All providers of health care,"29,217.88",
2006,Belgium,Million euro,Hospitals,"9,290",
2006,Belgium,Million euro,General hospitals,"8,305.31",
2006,Belgium,Million euro,Mental health hospitals,947.39,
2006,Belgium,Million euro,Specialised hospitals (other than mental health hospitals),37.3,
2006,Belgium,Million euro,Residential long-term care facilities,"4,388",
2006,Belgium,Million euro,Long-term nursing care facilities,"3,112.35",
2006,Belgium,Million euro,Mental health and substance abuse facilities,98.36,
2006,Belgium,Million euro,Other residential long-term care facilities,"1,177.28",
2006,Belgium,Million euro,Providers of ambulatory health care,"8,276.35",
2006,Belgium,Million euro,Medical practices,"3,988.51",
2006,Belgium,Million euro,Dental practice,967.38,
2006,Belgium,Million euro,Other health care practitioners,934.11,
2006,Belgium,Million euro,Ambulatory health care centres,285.94,
2006,Belgium,Million euro,Providers of home health care services,"2,100.41",
2006,Belgium,Million euro,Providers of ancillary services,796.67,
2006,Belgium,Million euro,Providers of patient transportation and emergency rescue,100.97,
2006,Belgium,Million euro,Medical and diagnostic laboratories,71.08,
2006,Belgium,Million euro,Other providers of ancillary services,624.62,
2006,Belgium,Million euro,Retailers and other providers of medical goods,"4,522.92",
2006,Belgium,Million euro,Pharmacies,"4,303.59",
2006,Belgium,Million euro,Retail sellers and other suppliers of durable medical goods and medical appliances,27.75,
2006,Belgium,Million euro,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,191.58,
2006,Belgium,Million euro,Providers of preventive care,224.87,
2006,Belgium,Million euro,Providers of health care system administration and financing,"1,587.74",
2006,Belgium,Million euro,Government health administration agencies,247,
2006,Belgium,Million euro,Social health insurance agencies,840.52,
2006,Belgium,Million euro,Private health insurance administration agencies,285.61,
2006,Belgium,Million euro,Other administration agencies,214.61,
2006,Belgium,Million euro,Rest of economy,131.32,
2006,Belgium,Million euro,Households as providers of home health care,113.95,
2006,Belgium,Million euro,All other industries as secondary providers of health care,17.37,
2006,Belgium,Million euro,Other industries n.e.c.,:,
2006,Belgium,Million euro,Rest of the world,:,
2006,Belgium,Million euro,Providers unknown,:,
2006,Bulgaria,Million euro,All providers of health care,:,
2006,Bulgaria,Million euro,Hospitals,:,
2006,Bulgaria,Million euro,General hospitals,:,
2006,Bulgaria,Million euro,Mental health hospitals,:,
2006,Bulgaria,Million euro,Specialised hospitals (other than mental health hospitals),:,
2006,Bulgaria,Million euro,Residential long-term care facilities,:,
2006,Bulgaria,Million euro,Long-term nursing care facilities,:,
2006,Bulgaria,Million euro,Mental health and substance abuse facilities,:,
2006,Bulgaria,Million euro,Other residential long-term care facilities,:,
2006,Bulgaria,Million euro,Providers of ambulatory health care,:,
2006,Bulgaria,Million euro,Medical practices,:,
2006,Bulgaria,Million euro,Dental practice,:,
2006,Bulgaria,Million euro,Other health care practitioners,:,
2006,Bulgaria,Million euro,Ambulatory health care centres,:,
2006,Bulgaria,Million euro,Providers of home health care services,:,
2006,Bulgaria,Million euro,Providers of ancillary services,:,
2006,Bulgaria,Million euro,Providers of patient transportation and emergency rescue,:,
2006,Bulgaria,Million euro,Medical and diagnostic laboratories,:,
2006,Bulgaria,Million euro,Other providers of ancillary services,:,
2006,Bulgaria,Million euro,Retailers and other providers of medical goods,:,
2006,Bulgaria,Million euro,Pharmacies,:,
2006,Bulgaria,Million euro,Retail sellers and other suppliers of durable medical goods and medical appliances,:,
2006,Bulgaria,Million euro,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:,
2006,Bulgaria,Million euro,Providers of preventive care,:,
2006,Bulgaria,Million euro,Providers of health care system administration and financing,:,
2006,Bulgaria,Million euro,Government health administration agencies,:,
2006,Bulgaria,Million euro,Social health insurance agencies,:,
2006,Bulgaria,Million euro,Private health insurance administration agencies,:,
2006,Bulgaria,Million euro,Other administration agencies,:,
2006,Bulgaria,Million euro,Rest of economy,:,
2006,Bulgaria,Million euro,Households as providers of home health care,:,
2006,Bulgaria,Million euro,All other industries as secondary providers of health care,:,
2006,Bulgaria,Million euro,Other industries n.e.c.,:,
2006,Bulgaria,Million euro,Rest of the world,:,
2006,Bulgaria,Million euro,Providers unknown,:,
2006,Czech Republic,Million euro,All providers of health care,:,
